 Blitzkrieg Bop 	 Ramones	Punk
Anarchy in the UK 	 Sex Pistols	Punk
 Complete Control 	 The Clash	Punk
Kick Out the Jams 	 MC5	Punk
Holiday in Cambodia 	 Dead Kennedys	Punk
Waiting Room 	 Fugazi	Punk
London Calling 	 The Clash	Punk
Search and Destroy 	 The Stooges	Punk
God Save the Queen 	 Sex Pistols	Punk
 Where Eagles Dare 	 The Misfits	Punk
 I Wanna Be Sedated 	 Ramones	Punk
 In the City 	 The Jam	Punk
 Straight Edge 	 Minor Threat	Punk
 Johnny Hit and Run Pauline 	 X	Punk
 Celebrated Summer 	 Husker Du	Punk
 White Man (in Hammersmith Palais) 	 The Clash	Punk
 California Uber Alles 	 Dead Kennedys	Punk
 See No Evil 	 Television	Punk
 Bastards of Young 	 The Replacements	Punk
 Gloria 	 Patti Smith	Punk
 Radio Radio 	 Elvis Costello	Punk
 Ever Fallen in Love 	 The Buzzcocks	Punk
 Sonic Reducer 	 Dead Boys	Punk
 Rise Above 	 Black Flag	Punk
 Psycho Killer 	 Talking Heads	Punk
 Viet Nam 	 Minutemen	Punk
 12XU 	 Wire	Punk
 Live Fast Die Young 	 Circle Jerks	Punk
 I Wanna Be Your Dog 	 The Stooges	Punk
 Roadrunner 	 The Modern Lovers	Punk
 Orgasm Addict 	 The Buzzcocks	Punk
 Last Caress 	 The Misfits	Punk
 Smash it Up 	 The Damned	Punk
 White Riot 	 The Clash	Punk
 Pink Turns to Blue 	 Husker Du	Punk
 Oh Bondage Up Yours 	 X Ray Spex	Punk
 Free Money 	 Patti Smith	Punk
 Suggestion 	 Fugazi	Punk
 Favorite Thing 	 The Replacements	Punk
 Personality Crisis 	 New York Dolls	Punk
 Blank Generation 	 Richard Hell and the Voidoids	Punk
 X Offender 	 Blondie	Punk
 Death or Glory 	 The Clash	Punk
 In My Eyes 	 Minor Threat	Punk
 Pay To Cum 	 Bad Brains	Punk
 Nazi Punks Fuck Off 	 Dead Kennedys	Punk
 Venus 	 Television	Punk
 Motor City is Burning 	 MC5	Punk
 Hybrid Moments 	 The Misfits	Punk
 Banned in D.C. 	 Bad Brains	Punk
 This Aint No Picnic 	 The Minutemen	Punk
 Los Angeles 	 X	Punk
 Pablo Picasso 	 The Modern Lovers	Punk
 I Wanna Be Your Boyfriend 	 Ramones	Punk
 TV Party 	 Black Flag	Punk
 Dont Want to Know if Youre Lonely 	 Husker Du	Punk
 Chinese Rocks 	 Heartbreakers	Punk
 Final Solution 	 Pere Ubu	Punk
 Alternative Ulster 	 Stiff Little Fingers	Punk
 Institutionalized 	 Suicidal Tendencies	Punk
 New Rose 	 The Damned	Punk
 Sheena is a Punk Rocker 	 Ramones	Punk
 Mommys Little Monster 	 Social Distortion	Punk
 Unsatisfied 	 The Replacements	Punk
 Repeater 	 Fugazi	Punk
 Safe European Home 	 The Clash	Punk
 You 	 Bad Religion	Punk
 West Germany 	 Minutemen	Punk
 Weekend 	 The Dictators	Punk
 Doesnt Make it Alright 	 Stiff Little Fingers	Punk
 Welcome to Paradise 	 Green Day	Punk
 (I Want to be an) Angelpoise Lamp 	 The Soft Boys	Punk
 Color Me Impressed 	 The Replacements	Punk
 Angels With Dirty Faces 	 Sham 69	Punk
 Rocket Reducer 	 MC5	Punk
 Knowledge 	 Operation Ivy	Punk
 I Against I 	 Bad Brains	Punk
 Kill The Poor 	 Dead Kennedys 	Punk
 New Arayans 	 Reagan Youth 	Punk
 In Your Eyes 	 Circle Jerks 	Punk
 Give MeThe Cure 	 Fugazi 	Punk
 Clampdown 	 The Clash	Punk
 Holiday In The Sun 	 The Sex Pistols	Punk
 What Do I Get? 	 The Buzzcocks	Punk
 Ruby So Ho	 Rancid	Punk
 Sailin On 	 Bad Brains 	Punk
 Pinhead 	 Ramones	Punk
 Police Truck 	 Dead Kennedys	Punk
 No Class 	 Reagan Youth 	Punk
 Fuck Armageddon... This Is Hell 	 Bad Religion	Punk
 One Dead Cop 	 Leftover Crack 	Punk
 Corona 	 Minutemen 	Punk
 Pull My Strings 	 Dead Kennedys 	Punk
 Longview 	 Green Day 	Punk
 Linoleum 	 NOFX	Punk
 Rock n Roll High School 	 Ramones 	Punk
 Minor Threat 	 Minor Threat 	Punk
 American Jesus 	 Bad Religion	Punk
 Chemical Warefare 	 Dead Kennedys 	Punk
Unity 	 Operation Ivy	Punk
