White Lines (Dont Do It) 	 Grandmaster Flash & The Furious Five	HH
Walk This Way 	 Run DMC & Aerosmith 	HH
Rappers Delight 	 Sugar Hill Gang 	HH
Fight The Power 	 Public Enemy 	HH
Fight For Your Right 	 Beastie Boys 	HH
Gangstas Paradise 	 Coolio 	HH
Planet Rock 	 Afrika Bambatta 	HH
The Message 	 Grandmaster Flash & The Furious Five 	HH
Killing Me Softly 	 The Fugees 	HH
 Stan 	 Eminem 	HH
 Ill Be Missing You 	 Puff Daddy 	HH
 California Love 	 2Pac 	HH
 Cop Killa 	 Ice T 	HH
 The Rain (Supa Dupa Fly) 	 Missy Elliott 	HH
 I Need Love 	 LL Cool J 	HH
 Doo Wop (That Thing) 	 Lauryn Hill 	HH
 Push It 	 Salt-N-Pepa 	HH
 Mama Said Knock You Out 	 LL Cool J 	HH
 Ms. Jackson 	 Outkast 	HH
 Work It 	 Missy Elliott 	HH
 Nuthin But A G Thang	Dr. Dre	HH
 People Everyday 	 Arrested Development 	HH
 99 Problems 	 Jay Z 	HH
 Crossroads 	 Bone Thugs-N-Harmony	HH
 Mo Money Mo Problems 	 Notorious B.I.G. 	HH
 Summertime 	 DJ Jazzy Jeff & The Fresh Prince 	HH
 Country Grammer 	 Nelly 	HH
 Gin & Juice 	 Snoop Dogg & Dr. Dre 	HH
 In Da Club 	 50 Cent 	HH
 Stop The Violence Movement 	 Self Destruction 	HH
 Hey Ya 	 Outkast 	HH
 Everything Is Everything 	 Lauryn Hill 	HH
 Minds Playing Tricks On Me 	 Geto Boys 	HH
 Looking For The Perfect Beat 	 Afrika Bambatta 	HH
 No Sleep Till Brooklyn 	 Beastie Boys 	HH
 Big Poppa 	 Notorious B.I.G. 	HH
 U-N-I-T-Y. 	Queen Latifah 	HH
 Its Tricky 	 Run DMC 	HH
 I used to love h.e.r. 	 Common 	HH
 Gettin Jiggy Wit It 	 Will Smith 	HH
 Excursion 	 A Tribe Called Quest 	HH
 Black Steel In the Hour of Chaos 	 Public Enemy 	HH
 Baby Got Back 	 Sir Mix-A-Lot	HH
 Real Love 	 Mary J. Blige 	HH
 The Magic Number 	 De La Soul 	HH
 Hard Knock Life 	 Jay Z 	HH
 Straight Outta Compton 	 N.W.A. 	HH
 Bridge is Over 	 Boogie Down Productions 	HH
 On and On 	 Erykah Badu 	HH
 The Way I Am 	 Eminem 	HH
 Rock Box 	 Run DMC 	HH
 New Jack Hustler 	Ice-T	HH
 One Minute Man 	 Missy Elliott 	HH
 Me, Myself and I 	 De La Soul 	HH
 Were All In The Same Gang 	 West Coast Rap All-Stars	HH
 Hot In Herre 	 Nelly 	HH
 My Adidas 	 Run DMC 	HH
 Roxannes Revenge 	 Roxanne Shante 	HH
 AmeriKKKas Most Wanted 	 Ice Cube 	HH
 Say No Go 	 De La Soul 	HH
 Just A Friend 	 Biz Markie 	HH
 One More Chance 	 Notorious B.I.G. 	HH
 Funkee Ko Medina 	 Tone Loc 	HH
 Rebel Without A Pause 	 Public Enemy 	HH
 Love of My Life 	 Erykah Badu 	HH
 Whatta Man 	 Salt-N-Pepa & En Vogue 	HH
 I Know You Got Soul 	 Eric B. & Rakim 	HH
 Creep 	 TLC 	HH
 Childrens Story 	 Slick Rick 	HH
 2 Legit 2 Quit 	 MC Hammer 	HH
 Brown Skin Lady 	 Mos Def 	HH
 Welcome to the Terrordome 	 Public Enemy 	HH
 Dear Mama 	 2Pac 	HH
 Woo-Ha!! Got You All In Check 	 Busta Rhymes 	HH
 Big Pimpin 	Jay-Z	HH
 Bonita Applebum 	 A Tribe Called Quest 	HH
 No More Drama 	 Mary J. Blige 	HH
 Ready or Not 	 The Fugees 	HH
 Jesus Walks 	 Kanye West 	HH
 Love Is Blind 	 Eve 	HH
 Lyte As A Rock 	 MC Lyte 	HH
 Eye Know 	 De La Soul 	HH
 Raw 	 Big Daddy Kane 	HH
 It Was A Good Day 	 Ice Cube 	HH
 Parents Just Dont Understand 	 DJ Jazzy Jeff & The Fresh Prince 	HH
 Scenario 	 A Tribe Called Quest 	HH
 To Beat Yall 	 Lady B 	HH
 Im Still Number One 	 Boogie Down Productions 	HH
 Put Your Hands Where My Eyes Can See 	 Busta Rhymes 	HH
 Bust A Move 	 Young MC 	HH
 Dont Sweat The Technique 	 Eric B. & Rakim 	HH
 Freaks Come Out At Night 	 Whodini 	HH
 Wild Thing 	 Tone Loc 	HH
 The Real Slim Shady 	 Eminem 	HH
 How Ya Like Me Now 	 Kool Moe Dee 	HH
 C.R.E.A.M. 	 Wu Tang Clan 	HH
 Boyz-N-The Hood	Eazy E	HH
 Vapors 	 Biz Markie 	HH
 The Humpty Dance 	 Digital Underground 	HH
Express Yourself 	 N.W.A.	HH
