 No Woman, No Cry 	 Bob Marley & the Wailers	Reggae
 Israelites 	 Desmond Dekker & the Aces	Reggae
 Stir It Up 	 Bob Marley & the Wailers	Reggae
 Pressure Drop 	 Toots & the Maytals	Reggae
 The Harder They Come 	 Jimmy Cliff	Reggae
 One Love 	 Bob Marley & the Wailers	Reggae
54 46 Thats My Number 	 Toots & the Maytals	Reggae
 Satta Massagana 	 The Abyssinians	Reggae
 Funky Kingston 	 Toots & the Maytals	Reggae
 Montego Bay 	 Freddie Notes & The Rudies	Reggae
 Many Rivers To Cross 	 Jimmy Cliff	Reggae
 Marcus Garvey 	 Burning Spear	Reggae
 Legalize It 	 Peter Tosh	Reggae
 Redemption Song 	 Bob Marley & the Wailers	Reggae
 Here I Come 	 Dennis Brown	Reggae
 Get Up, Stand Up 	 Bob Marley & the Wailers	Reggae
 Rudy Got Soul 	 Desmond Dekker & The Aces	Reggae
 The Tide Is High 	 The Paragons	Reggae
 Three Little Birds 	 Bob Marley & the Wailers	Reggae
 Everything I Own 	 Ken Boothe	Reggae
 Night Nurse 	 Gregory Isaacs	Reggae
 You Dont Care 	 The Techniques	Reggae
 Vietnam 	 Jimmy Cliff	Reggae
 Rivers Of Babylon 	 The Melodians	Reggae
 Police & Thieves 	 Junior Murvin	Reggae
 Buffalo Soldier 	 Bob Marley & the Wailers	Reggae
 Red Red Wine 	 UB40	Reggae
 Cherry Oh Baby 	 Eric Donaldson	Reggae
 (I Am) The Upsetter 	 Lee "Scratch" Perry	Reggae
 Sitting & Watching 	 Dennis Brown	Reggae
 Jammin 	 Bob Marley & the Wailers	Reggae
 Wear You To The Ball 	 U Roy & The Paragons	Reggae
 Two Sevens Clash 	 Culture	Reggae
 I Shot The Sheriff 	 Bob Marley & the Wailers	Reggae
 Armagideon Time 	 Willie Williams	Reggae
 007 Shanty Town 	 Desmond Dekker & The Aces	Reggae
 A Love I Can Feel 	 John Holt	Reggae
 Revolution 	 Dennis Brown	Reggae
 Queen Majesty 	 The Techniques	Reggae
 Natty Rebel 	 U Roy	Reggae
 Loving Pauper 	 Dobby Dobson	Reggae
 Natural Mystic 	 Bob Marley	Reggae
 Equal Rights 	 Peter Tosh	Reggae
 Rocksteady 	 Alton Ellis & The Flames	Reggae
 Do The Reggay 	 Toots & the Maytals	Reggae
 Dont Stay Away 	 Phyllis Dillon	Reggae
 Baby Why 	 The Cables	Reggae
 One Blood 	 Junior Reid	Reggae
 Iron Lion Zion 	 Bob Marley & the Wailers	Reggae
 Book Of The Rules 	 The Heptones	Reggae
 Telephone Love 	 JC Lodge	Reggae
 Blackheart Man 	 Bunny Wailer	Reggae
 Nanny Goat 	 Larry & Alvin Marshall	Reggae
 Unchained 	 Bob Andy	Reggae
 Tenement Yard 	 Jacob Miller	Reggae
 Ba Ba Boom 	 The Jamaicans	Reggae
 Im Still In Love With You 	 Alton Ellis	Reggae
 Pass The Kutchie 	 The Mighty Diamonds	Reggae
 Wonderful World, Beautiful People 	 Jimmy Cliff	Reggae
 Mama Africa 	 Peter Tosh	Reggae
 Fade Away 	 Jr. Byles	Reggae
 How Could I Leave 	 Dennis Brown	Reggae
 Soon Forward 	 Gregory Isaacs	Reggae
 Trenchtown Rock 	 Bob Marley & the Wailers	Reggae
 Westbound Train 	 Dennis Brown	Reggae
 Cool Rasta 	 The Heptones	Reggae
 My Conversation 	 Slim Smith & The Uniques	Reggae
 You Can Get It If You Really Want 	 Jimmy Cliff	Reggae
 Now That We Found Love 	 Third World	Reggae
 Talk About Love 	 Pat Kelly	Reggae
 I Need A Roof 	 The Mighty Diamonds	Reggae
 1865 (96 Degrees In The Shade) 	 Third World	Reggae
 Declaration of Rights 	 The Abyssinians	Reggae
 War Inna Babylon 	 Max Romeo	Reggae
 Big Ship 	 Freddie McGregor	Reggae
 Waiting In Vain 	 Bob Marley & the Wailers	Reggae
 Guess Whos Comming To Dinner 	 Black Uhuru	Reggae
 I Can See Clearly Now 	 Johnny Nash	Reggae
 What One Dance Can Do 	 Beres Hammond	Reggae
 Crying Over You 	 Ken Boothe	Reggae
 Someone Loves You 	 JC Lodge	Reggae
 Sonnys Lettah 	 Linton Kwesi Johnson	Reggae
 What Kind Of World 	 The Cables	Reggae
 Rain From The Sky 	 Delroy Wilson	Reggae
 Everything Crash 	 The Ethiopians	Reggae
 Love Me Forever 	 Carlton & The Shoes	Reggae
 Johnny Too Bad 	 The Slickers	Reggae
 Love Is My Religion 	 Ziggy Marley	Reggae
 Monkey Man 	 Toots & the Maytals	Reggae
 War 	 Bob Marley & the Wailers	Reggae
 Can I Change My Mind 	 Alton Ellis	Reggae
 Duppy Gunman 	 Ernie Smith	Reggae
 Zungguzungguguzungguzeng 	 Yellowman	Reggae
 Black Cinderella 	 Errol Dunkley	Reggae
 Have Mercy 	 The Mighty Diamonds	Reggae
 Tumblin Down 	 Ziggy Marley & The Melody Makers	Reggae
 My Boy Lollipop 	 Millie Small	Reggae
 Hold Me Tight 	 Johnny Nash	Reggae
 Angel 	 Shaggy & Rayvon	Reggae
 Dreadlocks In Moonlight 	 Lee "Scratch" Perry	Reggae
